Query,Element Number,Property Number,Elements,Relationships,Class 1,Class 1 Member 1,Class 1 Member 2,Class 1 Member 3,Class 1 Member 4,Class 1 Member 5,Class2,Class 2 Member 1,Class 2 Member 2,Class 2 Member 3,Class 2 Member 4,Class 3,Class 3 Member 1,Class 3 Member 2,Class 3 Member 3,Class 4,Class 4 Member 1,Class 4 Member 2,Class 5,Class 5 Member 1
How many exterior doors are presented in this model?,1,1,Door,,FamilyInstance,BuiltInCategory.OST_Doors,|Symbol,,,,FamilySymbol,BuiltInParameter.FUNCTION_PARAM,,,,,,,,,,,,
Show me all the doors which are made of wood in this model.,1,1,Door,,FamilyInstance,BuiltInCategory.OST_Doors,|GetMaterialIds(),,,,Material,MaterialCategory ,,,,,,,,,,,,
How many doors have a height of no less than 2134mm?,1,1,Door,,FamilyInstance,BuiltInCategory.OST_Doors,|Symbol,,,,FamilySymbol,BuiltInParameter.DOOR_HEIGHT ,,,,,,,,,,,,
Find the top level among all the doors.,1,1,Door,,FamilyInstance,BuiltInCategory.OST_Doors,|LevelId,,,,Level,Elevation,,,,,,,,,,,,
"Return a list of the fire rating of all the doors, including those which do not have record.",1,1,Door,,FamilyInstance,BuiltInCategory.OST_Doors,|Symbol,,,,FamilySymbol,BuiltInParameter.DOOR_FIRE_RATING ,,,,,,,,,,,,
Obtain all the windows on the top floor in this model.,1,1,Window,,FamilyInstance,BuiltInCategory.OST_Windows,|LevelId,,,,Level,Elevation,,,,,,,,,,,,
Judge whether there are at least 3 windows in this model made of aluminum?,1,1,Window,,FamilyInstance,BuiltInCategory.OST_Windows,|GetMaterialIds(),,,,Material,MaterialCategory ,,,,,,,,,,,,
Retrieve the windows with a width of 5000mm.,1,1,Window,,FamilyInstance,BuiltInCategory.OST_Windows,|Symbol,,,,FamilySymbol,BuiltInParameter.WINDOW_WIDTH ,,,,,,,,,,,,
Where are the windows with the largest sill height among all the windows?,1,1,Window,,FamilyInstance,BuiltInCategory.OST_Windows,BuiltInParameter.INSTANCE_SILL_HEIGHT_PARAM,,,,,,,,,,,,,,,,,
Find a list of walls with an area less than 30 m2.,1,1,Wall,,Wall,BuiltInParameter.HOST_AREA_COMPUTED,,,,,,,,,,,,,,,,,,
Show me all walls with the smallest volumn among all.,1,1,Wall,,Wall,BuiltInParameter.HOST_VOLUME_COMPUTED,,,,,,,,,,,,,,,,,,
Where are the walls that have recorded a bottom elevation of 5000 mm?,1,1,Wall,,Wall,|LevelID,,,,,Level,Elevation,,,,,,,,,,,,
Are there at least 3 walls that have a thickness of more than 200 mm?,1,1,Wall,,Wall,Width,,,,,,,,,,,,,,,,,,
Identify the range of lengths of all the walls.,1,1,Wall,,Wall,BuiltInParameter.CURVE_ELEM_LENGTH,,,,,,,,,,,,,,,,,,
